Mission_Name,Launch_Date,Launch_Vehicle,Satellite_Mass_kg,Mission_Type,Launch_Site,Orbit_Class,Mission_Outcome,Remarks
GSAT-6A,3/29/2018,GSLV-F08,2140,Communication,Satish Dhawan Space Centre,GTO,Partial Success,Communication was lost with the satellite two days after launch.
IRNSS-1I,4/12/2018,PSLV-C41,1425,Navigation,Satish Dhawan Space Centre,GSO,Success,Replacement satellite for the failed IRNSS-1A.
GSAT-29,11/14/2018,GSLV MkIII-D2,3423,Communication,Satish Dhawan Space Centre,GTO,Success,High-throughput satellite for remote area connectivity.
HysIS,11/29/2018,PSLV-C43,380,Earth Observation,Satish Dhawan Space Centre,SSPO,Success,Hyperspectral Imaging Satellite for advanced Earth observation.
GSAT-11,12/5/2018,Ariane-5,5854,Communication,Guiana Space Centre,GTO,Success,"Heaviest satellite built by ISRO, providing high-speed internet connectivity."
GSAT-7A,12/19/2018,GSLV-F11,2250,Communication,Satish Dhawan Space Centre,GTO,Success,A military communications satellite for the Indian Air Force.
Microsat-R,1/24/2019,PSLV-C44,740,Technology Demonstration,Satish Dhawan Space Centre,LEO,Success,An imaging satellite that later served as the target for an anti-satellite (ASAT) missile test.
GSAT-31,2/6/2019,Ariane-5,2536,Communication,Guiana Space Centre,GTO,Success,A telecommunications satellite to provide continuity to INSAT-4CR services.
EMISAT,4/1/2019,PSLV-C45,436,Electronic Intelligence,Satish Dhawan Space Centre,SSPO,Success,An electronic intelligence satellite for the Defence Research and Development Organisation (DRDO).
RISAT-2B,5/22/2019,PSLV-C46,615,Earth Observation,Satish Dhawan Space Centre,LEO,Success,A radar imaging satellite for all-weather surveillance.
Chandrayaan-2,7/22/2019,GSLV MkIII-M1,3850,Lunar Exploration,Satish Dhawan Space Centre,Lunar Orbit,Partial Success,"Orbiter remains operational, but the lander (Vikram) and rover (Pragyan) failed during the landing attempt."
Cartosat-3,11/27/2019,PSLV-C47,1625,Earth Observation,Satish Dhawan Space Centre,SSPO,Success,Advanced high-resolution earth observation satellite.
RISAT-2BR1,12/11/2019,PSLV-C48,628,Earth Observation,Satish Dhawan Space Centre,LEO,Success,Radar imaging satellite for all-weather surveillance.
GSAT-30,1/17/2020,Ariane-5,3357,Communication,Guiana Space Centre,GTO,Success,A telecommunications satellite designed to replace the aging INSAT-4A.
EOS-01,11/7/2020,PSLV-C49,630,Earth Observation,Satish Dhawan Space Centre,LEO,Success,"An all-weather Radar Imaging Satellite, also known as RISAT-2BR2."
CMS-01,12/17/2020,PSLV-C50,1410,Communication,Satish Dhawan Space Centre,GTO,Success,A communications satellite intended to replace GSAT-12.
Amazonia-1,2/28/2021,PSLV-C51,637,Earth Observation,Satish Dhawan Space Centre,SSPO,Success,Primary payload from Brazil. First dedicated commercial mission for NSIL.
EOS-03,8/12/2021,GSLV-F10,2268,Earth Observation,Satish Dhawan Space Centre,GTO (Intended),Failure,Launch failed due to a technical anomaly in the cryogenic upper stage.
EOS-04 (RISAT-1A),2/14/2022,PSLV-C52,1710,Earth Observation,Satish Dhawan Space Centre,SSPO,Success,Radar Imaging Satellite to provide high-quality images under all weather conditions.
INS-2TD,2/14/2022,PSLV-C52,17.5,Technology Demonstration,Satish Dhawan Space Centre,SSPO,Success,"Co-passenger with EOS-04, a precursor to the India-Bhutan joint satellite."
InspireSat-1,2/14/2022,PSLV-C52,8.1,Scientific,Satish Dhawan Space Centre,SSPO,Success,"Co-passenger with EOS-04, a student satellite."
DS-EO,6/30/2022,PSLV-C53,365,Earth Observation,Satish Dhawan Space Centre,LEO,Success,Primary commercial payload from Singapore for NSIL.
EOS-02,8/7/2022,SSLV-D1,135,Earth Observation,Satish Dhawan Space Centre,LEO (Intended),Failure,Maiden developmental flight of the SSLV failed to place the satellite into a usable orbit.
Vikram-S,11/18/2022,Vikram-S,545,Technology Demonstration,Satish Dhawan Space Centre,Suborbital,Success,Mission 'Prarambh'. First launch of a privately developed rocket in India by Skyroot Aerospace.
EOS-06 (Oceansat-3),11/26/2022,PSLV-C54,1117,Oceanography,Satish Dhawan Space Centre,SSPO,Success,Provides continuity services for the Oceansat series with enhanced payload capabilities.
INS-2B,11/26/2022,PSLV-C54,18.28,Technology Demonstration,Satish Dhawan Space Centre,SSPO,Success,Co-passenger with EOS-06; A joint satellite with Bhutan.
Anand,11/26/2022,PSLV-C54,15,Earth Observation,Satish Dhawan Space Centre,SSPO,Success,Co-passenger with EOS-06; A hyperspectral nanosatellite from startup Pixxel.
Thybolt (1 & 2),11/26/2022,PSLV-C54,1.45,Communication,Satish Dhawan Space Centre,SSPO,Success,Co-passengers with EOS-06; Nanosatellites for amateur radio from Dhruva Space.
EOS-07,2/10/2023,SSLV-D2,156.3,Earth Observation,Satish Dhawan Space Centre,LEO,Success,Second developmental flight and first successful flight of the SSLV.
NVS-01,5/29/2023,GSLV-F12,2232,Navigation,Satish Dhawan Space Centre,GTO,Success,First of the second-generation NavIC satellites with an indigenous atomic clock.
Chandrayaan-3,7/14/2023,LVM3-M4,3900,Lunar Exploration,Satish Dhawan Space Centre,Lunar Orbit,Success,Achieved a historic successful soft landing on the lunar south pole.
Aditya-L1,9/2/2023,PSLV-C57,1480.7,Solar Observatory,Satish Dhawan Space Centre,Halo Orbit (L1),Success,India's first dedicated solar observatory; successfully entered halo orbit in Jan 2024.
GSAT-N2 (GSAT-20),11/19/2024,Falcon 9,4700,Communication,Cape Canaveral,GTO,Success,"A high-throughput satellite launched by SpaceX for NSIL, not on an ISRO vehicle."
Proba-3,12/5/2024,PSLV-XL,340,Scientific,Satish Dhawan Space Centre,HEO,Success,An ESA mission launched by ISRO to demonstrate precision formation flying.
SPADEX-A & SPADEX-B,12/30/2024,PSLV,400,Technology Demonstration,Satish Dhawan Space Centre,LEO,Success,Twin satellite mission to demonstrate autonomous rendezvous and docking technology.
NVS-02,1/29/2025,GSLV,2232,Navigation,Satish Dhawan Space Centre,GTO,Success,Second satellite in the second-generation NavIC constellation.
EOS-09,5/18/2025,SSLV,350,Earth Observation,Satish Dhawan Space Centre,LEO,Success,An advanced Earth observation microsatellite.
NISAR,7/30/2025,GSLV MkII,2800,Earth Observation,Satish Dhawan Space Centre,SSPO,Success,A joint NASA-ISRO Synthetic Aperture Radar mission for Earth science.
Rohini Satellite RS-D1,5/31/1981,SLV-3,38,Earth Observation,Satish Dhawan Space Centre,LEO,Partial Success,"Did not achieve the desired altitude, resulting in an orbital life of only 9 days."
GSAT-4,4/15/2010,GSLV-D3,2220,Communication,Satish Dhawan Space Centre,GTO (Intended),Failure,Launch failed as the indigenous cryogenic upper stage did not ignite.
GSAT-24,6/23/2022,Ariane-5,4180,Communication,Guiana Space Centre,GTO,Success,A dedicated satellite for DTH services; launched by Arianespace for NSIL.
